method,target_sparsity,seed,actual_sparsity,dense_acc,sparse_acc,flops_reduction,sparse_flops_per_sample,inference_speedup,params_active,params_total
saliency,0.0,0,0.0,0.9983333333333333,0.9983333333333333,0.0,133632,0.9052018436406878,67331,67331
saliency,0.0,1,0.0,0.9933333333333333,0.9933333333333333,0.0,133632,0.891131450152072,67331,67331
saliency,0.9,0,0.8140265804597702,0.965,0.965,0.8140265804597702,24852,2.577141613863684,12941,67331
saliency,0.9,1,0.8140265804597702,0.9883333333333333,0.9883333333333333,0.8140265804597702,24852,3.477385906898782,12941,67331
magnitude,0.0,0,0.0,0.9983333333333333,0.9983333333333333,0.0,133632,0.8408582150763484,67331,67331
magnitude,0.0,1,0.0,0.9933333333333333,0.9933333333333333,0.0,133632,0.684451794862037,67331,67331
magnitude,0.9,0,0.8140265804597702,0.9916666666666667,0.9916666666666667,0.8140265804597702,24852,1.9124189254104484,12941,67331
magnitude,0.9,1,0.8140265804597702,0.96,0.96,0.8140265804597702,24852,2.055401388176802,12941,67331
